Statement,Investor Type,Stated Strategic Equity,Actual Equity,Difference Actual vs Target,Initial Wealth,Permanent Loss
I have been investing for many decades and survived many dradowns.,Entrepreneur,0.338532525,0.338532525,0," 26,087,332 ",0
It's the first time I invest such an amount of money.,Professional,0.344811621,0.3,-0.044811621," 204,872,177 ",0
"I have never invested, but I'm an entrepreneur so I'm sure I can handle drawdowns.",Entrepreneur,0.794024724,0.9,0.105975276," 386,938,505 ",1
"I am aware of drawdowns, I think I can handle it.",Professional,0.754198411,0.8,0.045801589," 779,677,177 ",1
I prefer to wait for a drawdown and then invest.,Entrepreneur,0.26286574,0.1,-0.16286574," 879,177,283 ",1
"Valuations are very low, I want to be invested regardless of drawdowns.",Professional,0.918526791,0.9,-0.018526791," 754,939,545 ",0
"Valuations are very low, but I'm afraid of drawdowns.",Entrepreneur,0.927794627,0.8,-0.127794627," 237,266,672 ",0
I can take a crazy amount of risk.,Professional,0.9792273,1,0.0207727," 460,260,354 ",0
I cannot sustain losses of more than 10%.,Entrepreneur,0.309117627,0.4,0.090882373," 998,219,627 ",1
"I think the market is in a bubble, I will never increase equity.",Professional,0.143708383,0.1,-0.043708383," 253,500,533 ",1
I am fine in being 100% in equity. In the long run I will be fine.,Entrepreneur,0.967684798,1.00,0.032315202," 754,576,441 ",0
I do skydiving but I'm still afraid of taking risk with my investments.,Professional,0.166372628,0.166372628,0," 895,280,966 ",0
"I need to invest, otherwise I'll become poor in no time.",Entrepreneur,0.671780152,0.7,0.028219848," 43,690,430 ",0
I don't need an advisor to make me take risks.,Professional,0.891611892,0.9,0.008388108," 990,025,014 ",1
I cannot sustain more than a 20% loss.,Entrepreneur,0.61580442,0.5,-0.11580442," 403,304,260 ",0
I don't think I should invest in the financial markets.,Professional,0.246192591,0,-0.246192591," 996,265,549 ",1
I can handle drawdowns well.,Entrepreneur,0.755995504,1,0.244004496," 774,391,576 ",1
It's the first time I invest such an amount of money.,Professional,0.789576257,1,0.210423743," 744,359,277 ",1
"Have been investing for 3 generations, we can sustain drawdowns.",Entrepreneur,0.882695588,0.9,0.017304412," 902,029,682 ",0
"I have been investing for 3 generations, I'm the new generation and I have just inherited this money.",Professional,0.933251435,0.9,-0.033251435," 543,016,196 ",1
It's the first time I invest such an amount of money.,Entrepreneur,0.557919542,0.5,-0.057919542," 466,421,860 ",0
I see losses as lessons that improve my future decisions.,Professional,0.184405108,0.2,0.015594892," 463,940,272 ",0
"I have never invested, but I'm an entrepreneur so I'm sure I can handle drawdowns.",Entrepreneur,0.394576903,0.5,0.105423097," 705,342,847 ",1
I don't need an advisor to make me take risks.,Professional,0.954528821,0.8,-0.154528821," 51,270,659 ",0
I can handle temporary losses if the long-term trend looks promising.  ,Entrepreneur,0.704616171,0.9,0.195383829," 873,665,332 ",1
I’ve built my portfolio to reflect my personal comfort with risk.  ,Professional,0.468435811,0.5,0.031564189," 663,079,538 ",0
It's the first time I invest such an amount of money.,Entrepreneur,0.309720748,0.5,0.190279252," 566,655,209 ",1
I’ve learned to accept that losses are part of every investment journey.  ,Professional,0.436019254,0.436019254,0," 159,876,460 ",0
I keep my expectations realistic to avoid emotional decisions.  ,Entrepreneur,0.047431154,0.047431154,0," 577,667,401 ",1
I’m willing to take on more risk in my retirement account than my savings.  ,Professional,0.40874839,0.40874839,0," 790,380,236 ",0
I review my portfolio regularly to make sure it matches my risk profile.  ,Entrepreneur,0.204584597,0.204584597,0," 265,872,784 ",0
I can tolerate moderate losses if my overall plan is still on course.  ,Professional,0.275063101,0.275063101,0," 989,367,616 ",0
I’ve refined my strategy after experiencing early investment mistakes.  ,Entrepreneur,0.503819448,0.503819448,0," 128,621,321 ",0
I don’t let short-term performance dictate my long-term choices.  ,Professional,0.8,1,0.2," 909,531,722 ",1
I’m cautious but open to calculated opportunities.  ,Entrepreneur,0.15,0.1,-0.05," 653,208,435 ",1
I know diversification doesn’t prevent losses but helps manage them.  ,Professional,0.686380144,0.7,0.013619856," 292,789,518 ",0
I can handle downturns better when I understand the reasons behind them.  ,Entrepreneur,0.043875185,0.05,0.006124815," 497,288,415 ",1
I’m comfortable taking risks in growth sectors with solid fundamentals.  ,Professional,0.991253026,0.991253026,1," 370,805,765 ",0
I’ve trained myself to focus on data instead of emotion when markets drop.,Entrepreneur,0.5,0.5,0," 929,921,881 ",0
I can handle drawdowns well,Professional,0.594197008,0.7,0.105802992," 22,988,075 ",0
"You need to guide me toward a higher equity, I have no experience",Entrepreneur,0.066466223,0,-0.066466223," 124,600,608 ",0
"I have never invested, but I'm aan high risk professional, so I'm sure I can handle drawdowns",Professional,0.5,1,0.5," 994,801,619 ",1
I can handle short-term losses as long as the long-term outlook is solid.,Entrepreneur,0.361717385,0.361717385,0.3," 113,503,568 ",0
"I’ve been investing for over a decade, so I’ve seen both bull and bear markets.",Professional,0.835941834,0.835941834,0," 312,458,994 ",0
"I prefer moderate risk—enough to grow my portfolio, but not enough to lose sleep over.",Entrepreneur,0.461286204,0.45,-0.011286204," 652,021,485 ",0
A 20% dip doesn’t scare me if the fundamentals are strong.,Professional,0.275300671,0.5,0.224699329," 637,634,983 ",1
I’m more experienced with index funds than with individual stocks.,Entrepreneur,0.192984768,0.3,0.107015232," 848,176,831 ",0
"I lost money during the 2020 crash, but I stayed invested and recovered.",Professional,0.050046002,0.050046002,0," 982,077,007 ",1
I understand that volatility is part of the game.,Entrepreneur,0.570819785,0.6,0.029180215," 500,278,836 ",0
"I’m still learning, so I keep my risky investments small.",Professional,0.47832252,0.3,0.5," 502,879,126 ",0
I’ve diversified my portfolio to balance out potential losses.,Entrepreneur,0.227612866,0.3,0.072387134," 89,551,808 ",0
I’d rather miss out on big gains than risk a major loss.,Professional,0.20948023,0.1,-0.10948023," 670,608,614 ",1
I can accept minor losses if the potential upside is significant.  ,Entrepreneur,0.005814643,0.005814643,0," 850,859,116 ",1
I usually rebalance my portfolio to manage risk after market swings.  ,Professional,0.146946192,0.4,0.253053808," 547,646,356 ",1
I’ve learned to separate emotion from investment decisions.  ,Entrepreneur,0.632114743,0.65,0.017885257," 83,998,872 ",0
My main goal is capital preservation with steady growth.  ,Professional,0.767102633,0.6,-0.167102633," 597,403,781 ",0
I’m comfortable taking risks in sectors I understand well.  ,Entrepreneur,0.076250643,0.1,0.023749357," 902,327,323 ",1
I don’t panic when markets drop; I see it as a buying opportunity.  ,Professional,0.877796867,0.8,-0.077796867," 411,740,273 ",0
"I started investing recently, so I’m still figuring out my risk comfort level.  ",Entrepreneur,0.664720902,0.4,-0.264720902," 227,278,125 ",0
I can tolerate temporary losses if the overall trend remains positive.  ,Professional,0.675988565,0.85,0.174011435," 302,047,186 ",1
I rely on data and analysis before committing to high-risk positions.  ,Entrepreneur,0.725977338,0.1,-0.625977338," 478,138,666 ",1
I avoid leverage because I don’t want losses to multiply.,Professional,0.816151352,0.6,-0.216151352," 447,941,180 ",0
"I’ve experienced both major gains and painful losses, so I know my limits.  ",Entrepreneur,0.739798762,0.9,0.160201238," 906,385,186 ",1
My loss tolerance depends on how diversified my investments are.  ,Professional,0.867511848,0.8,-0.067511848," 477,255,323 ",0
"I can handle losing value on paper, but not realizing those losses.  ",Entrepreneur,0.5,0.55,0.05," 170,426,669 ",0
I always keep some cash aside to take advantage of downturns.  ,Professional,0.407058745,0.35,-0.057058745," 150,846,541 ",0
I learned early that chasing quick profits usually ends badly.  ,Entrepreneur,0.918034837,0.8,-0.118034837," 237,110,419 ",0
"I can stomach a 10% drop, but beyond that I start to get uneasy.  ",Professional,0.215989093,0.1,-0.115989093," 754,929,290 ",1
I understand that higher returns require higher risk.  ,Entrepreneur,0.8,0.5,-0.3," 825,880,211 ",0
I’m fine with volatility as long as my overall plan stays on track.  ,Professional,0.234934279,0.3,0.065065721," 467,722,081 ",0
"I focus on the long-term trend, not daily fluctuations.  ",Entrepreneur,0.326827791,0.35,0.023172209," 520,463,659 ",0
I’ve built my portfolio around steady dividend-paying stocks.  ,Professional,0.666052601,1,0.333947399," 454,164,573 ",1
I’ve been through market corrections before and stayed invested.  ,Entrepreneur,0.685386751,0.7,0.014613249," 154,108,564 ",0
I prefer predictable returns over speculative opportunities.  ,Professional,0.745627424,0.745627424,0.75," 332,485,924 ",0
I can accept short-term underperformance for long-term gains.  ,Entrepreneur,0.802885013,0.802885013,0.7," 773,574,595 ",0
I’ve set clear stop-loss limits to manage potential downside.  ,Professional,0.11118751,0.11118751,0.1," 391,224,379 ",1
I tend to reduce my exposure when markets feel overvalued.  ,Entrepreneur,0.298913741,0.1,-0.198913741," 366,878,878 ",1
I don’t invest money I can’t afford to lose.  ,Professional,0.519961588,0.5,-0.019961588," 122,792,658 ",0
I’m comfortable with moderate volatility in exchange for higher growth.  ,Entrepreneur,0.38091896,0.4,0.01908104," 234,418,657 ",0
I’ve taken courses to better understand risk management.  ,Professional,0.358582939,0.358582939,0.6," 577,814,449 ",1
